10.840655, 106.846602, 20.3, 180, 1774183744
10.840655, 106.846602, 20.3, 166, 1774183744
10.840654, 106.846602, 20.3, 178, 1774183746
10.840649, 106.846603, 20.4, 213, 1774183750
10.840648, 106.846604, 20.3, 200, 1774183752
10.840647, 106.846605, 20.3, 0, 1774183754
10.840963, 106.846729, 17.4, 49, 1774183886
10.840965, 106.846728, 17.7, 145, 1774183891
10.840965, 106.846727, 17.8, 138, 1774183893
10.840969, 106.846723, 17.8, 37, 1774183895
10.840965, 106.846729, 15.2, 241, 1774183901
10.841073, 106.846698, 15.1, 348, 1774183956
10.841073, 106.846698, 15.1, 347, 1774183958
10.841081, 106.846694, 15.3, 330, 1774183960
10.841086, 106.846693, 15.4, 327, 1774183962
10.841085, 106.846695, 15.5, 334, 1774183965
10.841090, 106.846695, 15.5, 332, 1774183968
10.841333, 106.846698, 17.8, 373, 1774184073
10.841331, 106.846699, 17.8, 335, 1774184075
10.841332, 106.846699, 18.0, 315, 1774184077
10.841332, 106.846699, 18.2, 316, 1774184079
10.841332, 106.846701, 18.1, 0, 1774184081
10.841581, 106.846670, 18.2, 0, 1774184194
10.841582, 106.846670, 18.1, 0, 1774184194
10.841584, 106.846669, 18.2, 0, 1774184197
10.841592, 106.846671, 17.4, 0, 1774184203
10.842070, 106.846474, 18.6, 0, 1774184405
10.842072, 106.846474, 18.8, 384, 1774184408
10.842073, 106.846474, 18.9, 0, 1774184410
10.842076, 106.846474, 18.9, 0, 1774184410
10.842078, 106.846474, 18.9, 346, 1774184413
10.842080, 106.846474, 19.0, 350, 1774184415
10.842082, 106.846474, 18.9, 0, 1774184415
10.842085, 106.846475, 18.7, 388, 1774184419
10.842089, 106.846475, 18.0, 0, 1774184421
10.842095, 106.846475, 17.9, 0, 1774184423
10.842250, 106.846480, 4.5, 593, 1774184499
10.842251, 106.846480, 4.3, 609, 1774184501
10.842256, 106.846479, 4.3, 592, 1774184503
10.842256, 106.846479, 4.1, 597, 1774184506
10.842257, 106.846479, 4.1, 568, 1774184508
10.842260, 106.846479, 4.4, 575, 1774184510
10.842262, 106.846480, 4.3, 560, 1774184512
10.842264, 106.846480, 4.3, 564, 1774184514
10.842668, 106.846497, 3.2, 663, 1774184632
10.842670, 106.846498, 3.3, 645, 1774184634
10.842672, 106.846498, 3.4, 0, 1774184634
10.842675, 106.846500, 3.3, 645, 1774184637
10.842677, 106.846501, 3.2, 645, 1774184639
10.842679, 106.846502, 3.1, 0, 1774184639
10.842680, 106.846502, 3.1, 617, 1774184642
10.842685, 106.846503, 3.0, 746, 1774184645
10.842686, 106.846504, 3.2, 788, 1774184647
10.842689, 106.846508, 3.2, 670, 1774184651
10.842726, 106.846301, 18.0, 0, 1774184763
10.842726, 106.846300, 17.7, 0, 1774184763
10.842725, 106.846297, 17.6, 0, 1774184765
10.842721, 106.846293, 17.5, 0, 1774184768
10.842718, 106.846291, 17.7, 0, 1774184770
10.842714, 106.846290, 17.6, 0, 1774184772
10.842713, 106.846288, 17.7, 217, 1774184774
10.842717, 106.846287, 17.8, 261, 1774184776
10.842735, 106.846283, 18.3, 0, 1774184783
10.842736, 106.846283, 18.0, 217, 1774184786
10.842737, 106.846281, 17.6, 247, 1774184788
10.842734, 106.846273, 18.0, 0, 1774184791
10.842732, 106.846272, 17.9, 195, 1774184793
10.842730, 106.846269, 18.3, 0, 1774184793
10.842721, 106.846262, 18.2, 194, 1774184797
10.842721, 106.846261, 17.9, 199, 1774184799
10.842721, 106.846260, 18.1, 204, 1774184801
10.842720, 106.846258, 18.0, 212, 1774184801
10.842718, 106.846255, 18.1, 192, 1774184804
10.842716, 106.846254, 18.1, 0, 1774184806
10.842711, 106.846249, 18.0, 192, 1774184808
10.842705, 106.846243, 18.3, 202, 1774184811
10.842703, 106.846242, 18.4, 0, 1774184813
10.842702, 106.846241, 17.9, 0, 1774184816
10.842700, 106.846238, 18.0, 0, 1774184819
10.842700, 106.846237, 18.2, 178, 1774184822
10.842391, 106.845813, 19.3, 142, 1774185020
10.842390, 106.845813, 19.7, 82, 1774185020
10.842383, 106.845815, 17.6, 300, 1774185031
10.842383, 106.845817, 17.9, 0, 1774185033
10.842384, 106.845820, 17.7, 320, 1774185035
10.842384, 106.845822, 17.7, 306, 1774185035
10.842381, 106.845819, 17.5, 0, 1774185040
10.842379, 106.845818, 17.5, 0, 1774185042
10.842225, 106.845636, 17.1, 0, 1774185133
10.842225, 106.845636, 17.1, 0, 1774185133
10.842225, 106.845636, 17.3, 0, 1774185135
10.842227, 106.845636, 17.1, 0, 1774185137
10.842232, 106.845631, 16.0, 0, 1774185143
10.842232, 106.845630, 14.9, 0, 1774185143
10.842161, 106.845234, 16.1, 407, 1774185241
10.842162, 106.845233, 16.0, 401, 1774185242
10.842165, 106.845228, 15.9, 0, 1774185246
10.842167, 106.845225, 15.8, 396, 1774185248
10.842167, 106.845222, 15.9, 354, 1774185250
10.842167, 106.845219, 16.3, 0, 1774185250
10.842165, 106.845208, 16.6, 217, 1774185254
10.842166, 106.845205, 16.7, 0, 1774185257
10.842166, 106.845201, 16.2, 0, 1774185259
10.842134, 106.844999, 17.9, 176, 1774185335
10.842132, 106.844997, 18.1, 0, 1774185337
10.842125, 106.844992, 18.0, 71, 1774185339
10.842123, 106.844989, 18.5, 0, 1774185341
10.842119, 106.844986, 18.5, 0, 1774185344
10.842113, 106.844983, 18.8, 0, 1774185346
10.842100, 106.844968, 17.3, 0, 1774185355
10.842103, 106.844956, 17.0, 0, 1774185359
10.842102, 106.844954, 17.1, 0, 1774185359
10.842099, 106.844956, 17.1, 0, 1774185363
10.842094, 106.844953, 17.1, 0, 1774185369
10.842094, 106.844960, 17.0, 263, 1774185373
10.842093, 106.844965, 17.1, 0, 1774185375
10.842091, 106.844966, 16.9, 0, 1774185377
10.842090, 106.844964, 17.0, 249, 1774185379
10.842086, 106.844966, 17.4, 237, 1774185383
10.842052, 106.845105, 18.5, 0, 1774185465
10.842052, 106.845105, 18.1, 299, 1774185465
10.842050, 106.845106, 18.6, 0, 1774185467
10.842045, 106.845110, 19.2, 0, 1774185472
10.842047, 106.845111, 18.9, 0, 1774185474
10.842056, 106.845114, 19.5, 169, 1774185477
10.842060, 106.845117, 19.0, 148, 1774185480
10.842061, 106.845118, 19.8, 138, 1774185482
10.842065, 106.845119, 18.5, 129, 1774185484
10.842069, 106.845122, 18.4, 149, 1774185486
10.842062, 106.845363, 18.1, 351, 1774185556
10.842062, 106.845364, 17.7, 403, 1774185558
